Alkaline Hydrolysis,Other Electrolysis,PEM,SOEC
0.0,3.9999999999999996e-05,0.003341314285714285,0.2
6.779494806987123e-07,5.839999999999998e-05,0.0038981999999999992,0.7599999999999999
9.491292729781971e-07,5.839999999999999e-05,0.0038981999999999992,0.7599999999999999
9.491292729781971e-07,7.999999999999999e-05,0.0038981999999999992,1.0
1.6270787536769097e-06,0.000103952,0.0038981999999999992,0.0
1.6270787536769097e-06,0.00013860266666666665,0.0042837362637362635,0.0
1.9660534940262663e-06,0.00013860266666666665,0.005214285714285713,0.0
2.3050282343756224e-06,0.000292,0.005354670329670329,0.0
7.728624079965321e-06,0.000292,0.005568857142857142,0.0
1.0033652314340944e-05,0.00031185599999999995,0.005568857142857142,0.0
1.0033652314340944e-05,0.00031185599999999995,0.005568857142857142,0.0
1.4087790208919243e-05,0.00031999999999999997,0.005568857142857142,0.0
1.4508118886952446e-05,0.00031999999999999997,0.005568857142857142,0.0
1.7897866290446006e-05,0.00034304159999999997,0.005568857142857142,0.0
2.060966421324086e-05,0.00034650666666666665,0.005568857142857142,0.0
2.467736109743313e-05,0.00034650666666666665,0.005568857142857142,0.0
2.8745057981625408e-05,0.000584,0.005568857142857142,0.0
3.0100956943022832e-05,0.0006930133333333333,0.005568857142857142,0.0
3.145685590442026e-05,0.0006930133333333333,0.005568857142857142,0.0
3.484660330791382e-05,0.00077964,0.005568857142857142,0.0
3.484660330791382e-05,0.000831616,0.005568857142857142,0.0
3.484660330791382e-05,0.0013143999999999999,0.005568857142857142,0.0
3.4982193204053564e-05,0.0029199999999999994,0.005568857142857142,0.0
3.823635071140738e-05,0.008759999999999997,0.005568857142857142,0.0
3.9931224413154164e-05,0.008759999999999999,0.005568857142857142,0.0
4.1626098114900947e-05,0.013860266666666666,0.006961071428571428,0.0
5.179534032538162e-05,0.013860266666666666,0.007496538461538461,0.0
5.681216648255209e-05,0.013860266666666666,0.007496538461538461,0.0
5.993073409376617e-05,0.013860266666666666,0.007496538461538461,0.0
6.467638045865716e-05,0.013860266666666666,0.00946705714285714,0.0
6.535432993935588e-05,0.013860266666666666,0.010709340659340658,0.0
7.484562266913786e-05,0.013860266666666666,0.011137714285714284,0.0
7.891331955333012e-05,0.013860266666666666,0.011137714285714284,0.0
8.176070737226472e-05,0.013860266666666666,0.011137714285714284,0.0
8.908256176381081e-05,0.013860266666666666,0.014285714285714284,0.0
9.111641020590695e-05,0.013860266666666666,0.021418681318681316,0.0
9.247230916730438e-05,0.013860266666666666,0.022275428571428568,0.0
9.111641020590695e-05,0.013860266666666666,0.02356054945054945,0.0
0.00010942104618477219,0.013860266666666666,0.026773351648351647,0.0
0.00012895970256670698,0.013860266666666666,0.038981999999999996,0.0
0.00013314927800922713,0.013860266666666666,0.050119714285714274,0.0
0.00014155973331849545,0.013860266666666666,0.05214285714285714,0.0
0.00016704675204416274,0.256140350877193,0.053546703296703295,0.0
0.00018467343854232927,1.0,0.053546703296703295,0.0
0.00018467343854232927,0.0,0.05568857142857142,0.0
0.00018467343854232927,0.0,0.07239514285714284,0.0
0.00018467343854232927,0.0,0.08032005494505494,0.0
0.00018467343854232927,0.0,0.10709340659340659,0.0
0.00018467343854232927,0.0,0.10709340659340659,0.0
0.0002009442260790984,0.0,0.10714285714285714,0.0
0.0002009442260790984,0.0,0.16064010989010988,0.0
0.0002009442260790984,0.0,0.16064010989010988,0.0
